epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40532,1.4627,3.12409,1.06008,0.65785,0.44444,0.58541,0.46673,0.43239,2.09221,0.83199,0.1,0,0
2,5.82244,1.30166,3.119,1.08201,0.65796,0.44444,0.57582,0.46385,0.43259,2.08942,0.83264,0.0991987,0.00019868,0.00019868
3,6.17995,1.12652,3.02532,1.09814,0.658,0.44444,0.5921,0.47747,0.44677,2.07482,0.83701,0.0983947,0.00039472,0.00039472
4,6.52956,1.29722,3.18105,1.0484,0.67433,0.46296,0.54537,0.41971,0.44849,2.07048,0.83823,0.0975881,0.00058812,0.00058812
5,6.8411,1.206,2.79255,1.03367,0.67024,0.46296,0.55163,0.41209,0.46279,2.06576,0.84299,0.0967789,0.00077888,0.00077888
6,7.15138,1.20725,2.8069,1.07442,0.67479,0.46296,0.55164,0.41664,0.46911,2.06176,0.84421,0.095967,0.000967,0.000967
7,7.49183,1.207,2.89883,1.09068,0.60172,0.5,0.67939,0.57401,0.45281,1.74488,0.83129,0.0951525,0.00115248,0.00115248
8,7.94888,0.94016,2.99136,1.00367,0.56872,0.59005,0.68839,0.65128,0.40983,1.52231,0.79846,0.0943353,0.00133532,0.00133532
9,8.38456,0.79413,2.30581,0.92616,0.52837,0.8799,0.73492,0.67549,0.41506,1.35857,0.79479,0.0935155,0.00151552,0.00151552
10,8.81907,0.87023,2.06877,0.92945,0.47549,0.80637,0.6516,0.59873,0.48699,2.06887,0.82002,0.0926931,0.00169308,0.00169308
11,9.21595,0.669,1.53167,0.86411,0.6413,0.88049,0.68335,0.62585,0.46389,3.06258,0.81541,0.091868,0.001868,0.001868
12,9.68402,0.50776,1.37412,0.86237,0.696,0.86657,0.86918,0.79173,0.4748,1.41296,0.79821,0.0910403,0.00204028,0.00204028
13,10.1053,0.53744,1.20983,0.82698,0.75959,0.79753,0.83245,0.74419,0.48925,1.22961,0.80632,0.0902099,0.00220992,0.00220992
14,10.5414,0.64086,1.45249,0.86833,0.5299,0.92781,0.80642,0.72698,0.49601,1.23057,0.82092,0.0893769,0.00237692,0.00237692
15,10.9438,0.56492,1.48914,0.83626,0.5312,0.82222,0.82084,0.73745,0.49049,1.74613,0.80584,0.0885413,0.00254128,0.00254128
16,11.3323,0.59725,0.98186,0.82589,0.65965,0.88889,0.84145,0.74278,0.52444,0.79319,0.82009,0.087703,0.002703,0.002703
17,11.7304,0.64339,1.06586,0.83893,0.77445,0.90504,0.95746,0.8732,0.42968,0.69889,0.80117,0.0868621,0.00286208,0.00286208
18,12.126,0.56904,0.82173,0.84091,0.77445,0.90504,0.95746,0.8732,0.42968,0.69889,0.80117,0.0860185,0.00301852,0.00301852
19,12.5523,0.56181,0.73899,0.8297,0.7841,0.90391,0.90853,0.76773,0.64986,0.70433,0.8263,0.0851723,0.00317232,0.00317232
20,12.9185,0.57943,0.80344,0.86073,0.7841,0.90391,0.90853,0.76773,0.64986,0.70433,0.8263,0.0843235,0.00332348,0.00332348
21,13.3173,0.55435,0.77731,0.80505,0.71682,0.87978,0.93337,0.84723,0.46278,1.37921,0.79502,0.083472,0.003472,0.003472
22,13.6898,0.64273,0.80463,0.85296,0.71682,0.87978,0.93337,0.84723,0.46278,1.37921,0.79502,0.0826179,0.00361788,0.00361788
